,Ingredient,Pre,Normalization,Freq
122,Fragole,fragole,fragole,249
123,Mirtilli,mirtilli,mirtilli,144
124,Lamponi,lamponi,lamponi,214
125,Carciofi,carciofi,carciofi,222
126,Banane,banane,banane,76
127,Arachidi,arachidi,arachidi,24
128,Farina di riso,farina di riso,farina di riso,103
129,Latticello,latticello,latticello,12
130,Semi di chia,semi di chia,semi di chia,107
131,Cioccolato fondente,cioccolato fondente,cioccolato fondente,833
132,Peperoni,peperoni,peperoni,612
133,Patate,patate,patate,1000
134,Pomodorini ciliegino,pomodorini ciliegino,pomodorini ciliegino,288
135,Cipolle bianche,cipolle bianche,cipolle bianche,310
136,Polpa di pomodoro,polpa di pomodoro,polpa di pomodoro,49
137,Malto,malto,malto,79
138,Semola di grano duro rimacinata,semola di grano duro rimacinata,semola di grano duro rimacinata,144
139,Miele,miele,miele,335
140,Granella di pistacchi,granella di pistacchi,granella di pistacchi,70
141,Granella di zucchero,granella di zucchero,granella di zucchero,27
142,Wurstel,wurstel,wurstel,25
143,Farina di mais,farina di mais,farina di mais,144
144,Petto di pollo,petto di pollo,petto di pollo,350
145,Alloro,alloro,alloro,451
146,Rosmarino,rosmarino,rosmarino,850
147,Chiodi di garofano,chiodi di garofano,chiodi di garofano,180
148,Pepe nero in grani,pepe nero,pepe nero,5844
149,Pancarrè,pancarrè,pancarrè,96
150,Pasta di salame,pasta di salame,pasta,5
151,Birra chiara,birra chiara,birra chiara,103
152,Ribes,ribes,ribes,85
153,Baguette,baguette,baguette,23
154,Filetto di salmone,filetto di salmone,filetto di salmone,173
155,Aneto,aneto,aneto,105
156,Pepe rosa,pepe rosa,pepe rosa,5844
157,Latte di soia,latte di soia,latte di soia,42
158,Rucola,rucola,rucola,133
159,Nutella,nutella,nutella,136
160,Confettura di albicocche,confettura di albicocche,confettura di albicocche,46
161,Farina integrale di miglio,farina integrale di miglio,farina,108
162,Erbette,erbette,erbette,30
163,Provola affumicata,provola affumicata,provola affumicata,31
164,Sale di maldon,sale di maldon,sale di maldon,9693
165,Farina di castagne,farina di castagne,farina di castagne,38
166,Ricotta salata,ricotta salata,ricotta salata,36
167,Riso Arborio,riso arborio,riso arborio,37
168,Pomodori ramati,pomodori ramati,pomodori ramati,123
169,Caciocavallo,caciocavallo,caciocavallo,87
170,Peperoni rossi,peperoni rossi,peperoni rossi,612
171,Peperoni gialli,peperoni gialli,peperoni gialli,612
172,Olive nere,olive nere,olive nere,244
173,Cetriolini sottaceto,cetriolini sottaceto,cetriolini sottaceto,48
174,Polpo,polpo,polpo,47
175,Gamberi,gamberi,gamberi,194
176,Gnocchi di patate,gnocchi di patate,gnocchi di patate,22
177,Spinacini,spinacini,spinacini,38
178,Barbabietole precotte,barbabietole precotte,barbabietole precotte,61
179,Pere kaiser,pere kaiser,pere kaiser,14
180,Aceto balsamico,aceto balsamico,aceto balsamico,172
181,Funghi champignon,funghi champignon,funghi champignon,90
182,Senape dolce,senape dolce,senape dolce,236
183,Brodo di pollo,brodo di pollo,brodo di pollo,219
184,Vino bianco,vino bianco,vino bianco,1177
185,Scalogno,scalogno,scalogno,620
186,Fettine di manzo,fettine di manzo,fettine di manzo,492
187,Mozzarella,mozzarella,mozzarella,264
188,Origano,origano,origano,397
189,Caffè in polvere,caffè,caffè,190
190,Granella di mandorle,granella di mandorle,granella di mandorle,19
191,Pisto,pisto,pistacchi,193
192,Ammoniaca per dolci,ammoniaca,ammoniaca,15
193,Pere,pere,pere,111
194,Brie,brie,brie,17
195,Cannella in stecche,cannella,cannella,499
196,Latte,latte,latte,2242
197,Cacao zuccherato in polvere,cacao zuccherato,cacao zuccherato,14
198,Gocce di cioccolato bianco,gocce di cioccolato bianco,gocce di cioccolato bianco,7
199,Marmellata di prugne,marmellata di prugne,marmellata,46
200,Cocco rapè,cocco rapè,cocco rapè,43
201,Biga,biga,biga,3
202,Miele di acacia,miele di acacia,miele di acacia,82
203,Sciroppo di acero,sciroppo di acero,sciroppo di acero,32
204,Latte condensato,latte condensato,latte condensato,97
205,Uvetta,uvetta,uvetta,220
206,Lattuga romana,lattuga romana,lattuga romana,25
