,Ingredient,Pre,Normalization,Freq
549,Pan brioche,pan brioche,pan di spagna,7
550,Susine,susine,susine,10
551,Cotto di fichi,cotto di fichi,cotto di fichi,1
552,Fior di sale,fior di sale,fior di sale,55
553,Pennette Rigate,pennette rigate,pennette rigate,104
554,Vino liquoroso,vino liquoroso,vino,43
555,Biscotti secchi,biscotti secchi,biscotti secchi,84
556,Pennette Rigate Integrali,pennette rigate integrali,pennette,104
557,Trofie,trofie,trofie,13
558,Ditaloni Rigati,ditaloni rigati,ditaloni rigati,10
559,Ceci secchi,ceci secchi,ceci secchi,72
560,Mix tandoori,mix tandoori,tandoori,10
561,Finocchietto selvatico,finocchietto selvatico,finocchietto selvatico,96
562,Garam Masala,garam masala,garam masala,11
563,Riso nero Venere,riso nero venere,riso nero venere,17
564,Patate novelle,patate novelle,patate novelle,27
565,Calamari,calamari,calamari,102
566,Mazzancolle,mazzancolle,mazzancolle,31
567,Gelato,gelato,gelatina,8
568,Birra rossa,birra rossa,birra rossa,103
569,Piadine,piadine,piadine,31
570,Peperoncino verde,peperoncino verde,peperoncino verde,468
571,Stracciatella,stracciatella,stracciatella,23
572,Fesa di vitello,fesa di vitello,fesa di vitello,492
573,Porchetta,porchetta,porchetta,3
574,Provolone,provolone,provolone,36
575,Songino,songino,songino,34
576,Funghi finferli (gallinacci),funghi finferli,funghi finferli,21
577,Pesce spada affumicato,pesce spada affumicato,pesce spada affumicato,7
578,Acciughe sotto sale,acciughe sotto sale,acciughe sotto sale,403
579,Olive taggiasche,olive taggiasche,olive taggiasche,106
580,Salame piccante,salame piccante,salame piccante,8
581,Capperi sott'olio,capperi sott'olio,capperi sott'olio,366
582,Confettura di ananas,confettura di ananas,confettura,46
583,Insalata mista,insalata mista,insalata mista,28
584,Farina di Kamut®,farina di kamut®,farina,2121
585,Lievito madre,lievito madre,lievito madre,30
586,Aroma alla mandorla,aroma alla mandorla,aroma alla mandorla,14
587,Ricotta di pecora,ricotta di pecora,ricotta di pecora,63
588,Arancia candita,arancia candita,arancia candita,60
589,Panini di grano duro,panini di grano duro,panini,78
590,Caprino,caprino,caprino,58
591,Tomini,tomini,tomini,11
592,Farina di segale,farina di segale,farina di segale,11
593,Bettelmatt,bettelmatt,bettelmatt,2
594,Amarene con sciroppo,amarene con sciroppo,amarene,47
595,Wurstel di maiale,wurstel di maiale,wurstel,25
596,Pasta per il pane,pasta,pasta,78
597,Mandorle armelline,mandorle armelline,mandorle,415
598,Estratto di mandorla,estratto di mandorla,estratto di vaniglia,11
599,Latte di riso,latte di riso,latte di riso,14
600,Margarina vegetale,margarina vegetale,margarina vegetale,10
601,Bresaola,bresaola,bresaola,20
602,Bacon,bacon,bacon,39
603,Zucca delica,zucca delica,zucca delica,226
604,Fichi viola,fichi viola,fichi,82
605,Pecorino toscano,pecorino toscano,pecorino toscano,519
606,Noci pecan,noci pecan,noci pecan,24
607,Cavolo nero,cavolo nero,cavolo nero,44
608,Farina di mais bramata,farina di mais bramata,farina di mais bramata,144
609,Ketchup,ketchup,ketchup,38
610,Senape gialla in polvere,senape gialla,senape gialla,236
611,Ceci neri secchi,ceci neri secchi,ceci,72
612,Formaggio,formaggio,formaggio,264
613,Pomodori,pomodori,pomodori,634
614,Panini integrali,panini integrali,panini,78
615,Burro di arachidi,burro di arachidi,burro di arachidi,8
616,Lievito madre liquido,lievito madre liquido,lievito,30
617,Paccheri,paccheri,paccheri,33
618,Pancetta dolce,pancetta dolce,pancetta dolce,22
619,Semola,semola,semola,144
620,Spaghetti Integrali,spaghetti integrali,spaghetti integrali,19
621,Fiordilatte,fiordilatte,fiordilatte,53
622,Spaghetti 5 cereali,spaghetti 5 cereali,spaghetti 5 cereali,201
623,Finocchi,finocchi,finocchi,98
624,Fusilli Senza Glutine,fusilli,fusilli,71
625,Peperoni dolci,peperoni dolci,peperoni,612
626,Pomodori datterini pelati,pomodori datterini pelati,pomodori datterini pelati,128
627,Cipollotti,cipollotti,cipollotti,296
628,Fusilli 5 cereali,fusilli 5 cereali,fusilli,71
629,Pomodori cuore di bue,pomodori cuore di bue,pomodori cuore di bue,15
630,Chicchi di caffè,chicchi di caffè,chicchi di caffè,21
631,Pollo,pollo,pollo,350
632,Confettura di fichi,confettura di fichi,confettura,46
633,Zuccheri glitterati,zuccheri glitterati,zuccheri glitterati,6
634,Worcestershire sauce,worcestershire sauce,worcestershire sauce,47
635,Cognac,cognac,cognac,64
636,Salsa ketchup,salsa ketchup,salsa ketchup,38
637,Sarde,sarde,sarde,32
638,Strozzapreti,strozzapreti,strozzapreti,7
639,Funghi chiodini,funghi chiodini,funghi chiodini,8
640,Nasello,nasello,nasello,16
641,Burro di cacao,burro di cacao,burro di cacao,9
642,Grand Marnier,grand marnier,grand marnier,34
643,Frutti di bosco disidratati,frutti di bosco disidratati,frutti della passione,72
644,Friselle,friselle,friselle,9
645,Lenticchie secche,lenticchie secche,lenticchie secche,28
646,Panini da hamburger,panini da hamburger,panini da hamburger,78
647,Insalata,insalata,insalata,75
648,Sottilette,sottilette,sottilette,5
649,Pane toscano,pane toscano,pane toscano,26
650,Arista,arista,arista,13
651,Senape di Digione,senape di digione,senape di digione,29
652,Coriandolo in polvere,coriandolo,coriandolo,67
653,Lecitina di soia,lecitina di soia,lecitina di soia,5
654,Piselli precotti,piselli precotti,piselli,302
655,Funghi,funghi,funghi,48
656,Pesce spada,pesce spada,pesce spada,66
657,Pepe verde in grani,pepe verde,pepe verde,5844
658,Sale dell'Himalaya (rosa),sale dell'himalaya,sale,9693
659,Dragoncello,dragoncello,dragoncello,31
660,Zenzero,zenzero,zenzero,285
661,Caramelle di zucchero colorate,caramelle di zucchero colorate,caramelle di zucchero colorate,10
662,Fagioli cannellini,fagioli cannellini,fagioli cannellini,61
663,Latte di mandorle,latte di mandorle,latte di mandorle,32
664,Miele di erica,miele di erica,miele,335
665,Liquore,liquore,liquore,38
666,Frutta disidratata,frutta disidratata,frutta,22
667,Verza,verza,verza,78
668,Pesche gialle,pesche gialle,pesche gialle,106
669,Lavanda,lavanda,lavanda,39
670,Pomodorini gialli,pomodorini gialli,pomodorini gialli,16
671,Amaretto (liquore),amaretto,amaretto,104
672,Confettura di lamponi,confettura di lamponi,confettura di lamponi,12
673,Biscotti,biscotti,biscotti,84
674,Tortillas di mais,tortillas di mais,tortillas,20
675,Peperoncino verde dolce,peperoncino verde dolce,peperoncino,468
676,Panna acida,panna acida,panna acida,57
677,Olive baresane,olive baresane,olive,72
678,Funghi orecchioni o ostrica (Pleurotus),funghi orecchioni,funghi orecchioni,6
679,Cioccolato al latte 40%,cioccolato al latte 40%,cioccolato,59
680,Patate dolci (o americane),patate dolci,patate dolci,23
681,Lambrusco,lambrusco,lambrusco,5
682,Whisky,whisky,whisky,22
683,Wasabi,wasabi,wasabi,30
684,Zucchero grezzo di canna,zucchero grezzo di canna,zucchero grezzo di canna,547
685,Lasagne Sottili all'uovo,lasagne sottili all'uovo,lasagne sottili all'uovo,51
686,Panini da hot dog,panini da hot dog,panini,78
687,Astice,astice,astice,9
688,Lattuga iceberg,lattuga iceberg,lattuga iceberg,16
689,Chicchi di farina di legumi (lenticchie rosse e piselli),chicchi di farina di legumi,chicchi di caffè,5
690,Pomodori sardi (camone),pomodori sardi,pomodori sardi,634
691,Pomodori pizzutelli,pomodori pizzutelli,pomodori,634
692,Mini Farfalle,mini farfalle,mini penne rigate,16
693,Mele,mele,mele,204
694,Moscato,moscato,moscato,22
695,Penne Rigate Senza Glutine,penne rigate,penne rigate,104
696,Carciofi mammole,carciofi mammole,carciofi mammole,222
697,Mini Pipe Rigate,mini pipe rigate,mini penne rigate,16
698,Filetti di platessa,filetti di platessa,filetti di platessa,8
699,Ditalini Senza Glutine,ditalini,ditalini,12
700,Cicerchie secche,cicerchie secche,cicerchie secche,4
701,Tartufo nero,tartufo nero,tartufo nero,44
702,Tagliatelle 5 cereali e uova,tagliatelle 5 cereali e uova,tagliatelle,37
703,Ravanelli,ravanelli,ravanelli,52
704,Penne di lenticchie rosse,penne di lenticchie rosse,penne,104
705,Casarecce,casarecce,casarecce,16
706,Pasta,pasta,pasta,78
707,Pomodori di Pachino,pomodori di pachino,pomodori di pachino,35
708,Pennette rigate 5 cereali,pennette rigate 5 cereali,pennette rigate 5 cereali,104
709,Vino rosato,vino rosato,vino rosato,9
710,Curry,curry,curry,89
711,Asiago,asiago,asiago,30
712,Capperi,capperi,capperi,366
713,Peperoni verdi,peperoni verdi,peperoni verdi,612
714,Pomodorini,pomodorini,pomodorini,142
715,Mozzarelline ciliegine,mozzarelline ciliegine,mozzarelline ciliegine,264
716,Lattuga lollo,lattuga lollo,lattuga,112
717,Mango,mango,mango,61
718,Miglio,miglio,miglio,1
719,Zucchine trombetta,zucchine trombetta,zucchine,654
720,Riso vialone nano,riso vialone nano,riso vialone nano,34
721,Ciliegie candite,ciliegie candite,ciliegie candite,30
722,Reginette,reginette,reginette,12
723,Amaro,amaro,amaranto,5
724,Mele verdi,mele verdi,mele verdi,43
725,Camembert,camembert,camembert,8
726,Lamponi disidratati,lamponi disidratati,lamponi,214
727,Baccalà dissalato,baccalà dissalato,baccalà dissalato,94
728,Vino,vino,vino,43
729,Brodo,brodo,brodo,215
730,Confettura di more,confettura di more,confettura,46
731,Biscotti al cacao,biscotti al cacao,biscotti,29
732,Zucchero a velo vanigliato,zucchero,zucchero,4949
733,Aroma di alchermes,aroma di alchermes,aroma alla mandorla,10
734,Cavolo rosso,cavolo rosso,cavolo rosso,18
735,Maraschino,maraschino,maraschino,21
736,Colla alimentare,colla alimentare,colla alimentare,7
737,Panini ai cereali,panini ai cereali,panini ai cereali,78
738,Kirsch,kirsch,kirsch,22
739,Aragosta,aragosta,aragosta,10
740,Carrè di maiale,carrè di maiale,carrè di agnello,202
741,Spumante,spumante,spumante,25
742,Corn flakes,corn flakes,corn flakes,20
743,Farina di cocco,farina di cocco,farina di cocco,20
744,Verzini,verzini,verzini,2
745,Cipolle borettane,cipolle borettane,cipolle borettane,103
746,Scorze di fave,scorze di fave,scorzette d'arancia candita,103
747,Pomodorini verdi,pomodorini verdi,pomodorini,142
748,Rocoto,rocoto,rocoto,1
749,Carote viola,carote viola,carote viola,7
750,Patate viola,patate viola,patate viola,10
751,Barbabietole,barbabietole,barbabietole,61
752,Cachi,cachi,cachi,17
753,Mele Ambrosia,mele ambrosia,mele,204
754,Porto,porto,porto,27
755,Pasta di pinoli,pasta di pinoli,pasta,392
756,Tortillas di farina,tortillas di farina,tortillas di farina,20
757,Marmellata di arance,marmellata di arance,marmellata di arance,28
758,Gocce di cioccolato,gocce di cioccolato,gocce di cioccolato,11
759,Visciole,visciole,visciole,3
760,Uva bianca,uva bianca,uva bianca,21
761,Uva nera,uva nera,uva nera,13
762,Prugne secche,prugne secche,prugne secche,32
763,Triglie,triglie,triglie,31
764,Merluzzetti,merluzzetti,merluzzetti,49
765,Cepole,cepole,cepole,1
766,Aglio fresco,aglio fresco,aglio,2572
767,Friggitelli,friggitelli,friggitelli,9
768,Pane grattugiato,pane grattugiato,pane,363
769,Fave secche,fave secche,fave secche,9
770,Scorza di mandarino,scorza di mandarino,scorza d'arancia,187
771,Rana pescatrice,rana pescatrice,rana pescatrice,17
772,Anice in polvere,anice,anice,9
773,Riso per sushi,riso,riso,289
774,Alga nori,alga nori,alga nori,31
775,Surimi,surimi,surimi,10
776,Uova di lompo (succedaneo caviale),uova di lompo,uova di lompo,23
777,Zenzero sott'aceto,zenzero sott'aceto,zenzero sott'aceto,285
778,Fagioli rossi precotti,fagioli rossi precotti,fagioli,87
779,Olio di semi di mais,olio di semi di mais,olio di semi di mais,27
780,Carne ovina,carne ovina,carne,350
781,Spezie,spezie,spezie,13
782,Semolino,semolino,semolino,56
783,Bacche di mirto,bacche di mirto,bacche di mirto,20
784,Fesa di tacchino,fesa di tacchino,fesa di tacchino,20
785,Fagioli dall'occhio secchi,fagioli dall'occhio secchi,fagioli,5
786,Fagioli cannellini secchi,fagioli cannellini secchi,fagioli cannellini secchi,61
787,Lenticchie rosse decorticate,lenticchie rosse decorticate,lenticchie,49
788,Insalata misticanza,insalata misticanza,insalata misticanza,28
789,Cotechino,cotechino,cotechino,29
790,Lenticchie,lenticchie,lenticchie,49
791,Mandarini,mandarini,mandarini,29
792,Pane guttiau,pane guttiau,pane,363
793,Olive verdi in salamoia,olive verdi,olive verdi,119
794,Fagiolini piattoni,fagiolini piattoni,fagiolini piattoni,153
795,Cumino in polvere,cumino,cumino,79
796,Farfalle Integrali,farfalle integrali,farfalle,35
797,Pomodorini secchi sottolio,pomodorini secchi sottolio,pomodorini secchi sottolio,141
798,Capriolo,capriolo,capriolo,5
799,Torchietti all'uovo,torchietti all'uovo,torchietti all'uovo,2
800,Aglio rosso,aglio rosso,aglio,2572
801,Noodles,noodles,noodles,14
802,Germogli di soia,germogli di soia,germogli di soia,23
803,Linguine senza glutine,linguine,linguine,56
804,Yogurt senza lattosio,yogurt,yogurt,129
805,Succo di pesca,succo di pesca,succo di pesca,3
806,Penne Rigate Bio,penne rigate bio,penne,104
807,Farina istantanea per polenta taragna,farina istantanea,farina istantanea,9
808,Broccoli romaneschi,broccoli romaneschi,broccoli romaneschi,95
809,Cavoletti di Bruxelles,cavoletti di bruxelles,cavoletti di bruxelles,20
810,Cavoli rossi,cavoli rossi,cavolini di bruxelles,18
811,Valeriana (songino),valeriana,valeriana,14
812,Lardo,lardo,lardo,114
813,Melone,melone,melone,39
814,Luganega,luganega,luganega,23
815,Culatello,culatello,culatello,8
816,Cipolline sott'aceto,cipolline sott'aceto,cipolline,103
817,Raspadura,raspadura,raspadura,5
818,Sfoglie croccanti al forno,sfoglie croccanti al forno,sfoglie croccanti al forno,5
819,Crema di castagne,crema di castagne,crema,25
820,Mele Evelina,mele evelina,mele evelina,204
821,Zucchine tonde,zucchine tonde,zucchine tonde,654
822,Sciroppo di amarene,sciroppo di amarene,sciroppo alla fragola,2
823,Pasta di curry,pasta di curry,pasta,89
824,Lemongrass,lemongrass,lemongrass,13
825,Carote baby,carote baby,carote baby,1077
826,Sfilati con olive al forno,sfilati con olive al forno,sfilati al pomodoro al forno,6
827,Prosciutto,prosciutto,prosciutto,22
828,Frutti di cappero,frutti di cappero,frutti di cappero,366
829,Cosciotto d'agnello,cosciotto d'agnello,cosciotto d'agnello,57
830,Miele di arancio,miele di arancio,miele,335
831,Mezzi Canneroni,mezzi canneroni,mezzi paccheri,6
832,Caciocavallo silano,caciocavallo silano,caciocavallo,87
833,Nduja,nduja,nduja,9
834,Uova di quaglia,uova di quaglia,uova di quaglia,23
835,Farina di mais senza glutine,farina di mais,farina di mais,144
836,Bietole,bietole,bietole,64
837,Pasta per la pizza,pasta,pasta,78
838,Salame napoletano,salame napoletano,salame napoletano,11
839,Isomalto,isomalto,isomalto,1
840,Melanzane ovali nere,melanzane ovali nere,melanzane,295
841,Orecchiette,orecchiette,orecchiette,18
842,Farina di farro integrale,farina di farro integrale,farina di farro integrale,35
843,Aceto di lamponi,aceto di lamponi,aceto di lamponi,12
844,Filoncini di pane,filoncini di pane,filoncini di pane,363
845,Squacquerone,squacquerone,squacquerone,5
846,Fettuccine 5 cereali e uova,fettuccine 5 cereali e uova,fettuccine 5 cereali e uova,23
847,Farina 2,farina 2,farina 2,15
848,Mortadella con pistacchi,mortadella con pistacchi,mortadella,84
849,Seppioline,seppioline,seppioline,17
850,Riso,riso,riso,289
851,Fegatini di pollo,fegatini di pollo,fegatini di pollo,39
852,Funghi secchi,funghi secchi,funghi secchi,48
853,Peperoncino dolce,peperoncino dolce,peperoncino dolce,468
854,Rose in pasta di zucchero,rose,rose,8
855,Fiori in ostia,fiori,fiori di zucca,39
856,Yogurt alla frutta,yogurt alla frutta,yogurt,129
857,Carote gialle,carote gialle,carote,1077
858,Nocciole tostate,nocciole tostate,nocciole tostate,45
859,Zucchine bianche,zucchine bianche,zucchine bianche,654
860,Chorizo,chorizo,chorizo,4
861,Ovetti di cioccolato al latte,ovetti di cioccolato al latte,ovetti di quaglia,5
862,Prosciutto cotto alle erbe,prosciutto cotto alle erbe,prosciutto,324
863,Triplo concentrato di pomodoro,triplo concentrato di pomodoro,triplo concentrato di pomodoro,192
864,Latte senza lattosio,latte,latte,2242
865,Ortiche,ortiche,ortiche,15
866,Rum bianco,rum bianco,rum bianco,218
867,Erbe aromatiche,erbe aromatiche,erbe aromatiche,70
868,Cipolle essiccate,cipolle essiccate,cipolle,1415
869,Pesche bianche,pesche bianche,pesche bianche,106
870,Cavolo cappuccio,cavolo cappuccio,cavolo cappuccio,44
871,Riso Ribe,riso ribe,riso,289
872,Menta essiccata,menta essiccata,menta,533
873,Carvi,carvi,carvi,1
874,Aroma all'arancia,aroma all'arancia,aroma alla mandorla,10
875,Mezze Maniche Rigate,mezze maniche rigate,mezze maniche rigate,21
876,Codetta,codetta,codetta,28
877,Cocco,cocco,cocco,45
878,Panettone,panettone,panettone,39
879,Mandarini canditi,mandarini canditi,mandarini,29
880,Fusilli Integrali,fusilli integrali,fusilli integrali,10
881,Tagliatelle Senza Glutine,tagliatelle,tagliatelle,37
882,Fusilli,fusilli,fusilli,71
883,Cipolle ramate,cipolle ramate,cipolle ramate,1415
884,Pangrattato senza glutine,pangrattato,pangrattato,834
885,Sgombro sott'olio,sgombro sott'olio,sgombro,20
886,Liquore all'anice,liquore all'anice,liquore all'anice,8
887,Sale marino integrale,sale marino integrale,sale,9693
888,Pepe di Sarawak,pepe di sarawak,pepe,5844
889,Farro,farro,farro,31
890,Orzo perlato,orzo perlato,orzo perlato,37
891,Tofu,tofu,tofu,23
892,Entrecote,entrecote,entrecote,492
893,Birra,birra,birra,103
894,Peperoncino verde piccante,peperoncino verde piccante,peperoncino verde piccante,44
895,Burro vegano,burro vegano,burro,4606
896,Granella di noci,granella di noci,granella di cioccolato,222
897,Alga kombu,alga kombu,alga nori,31
898,Cioccolato fondente al 50%,cioccolato fondente al 50%,cioccolato,833
899,Sambuca,sambuca,sambuca,4
900,Tonno affumicato,tonno affumicato,tonno,101
901,Totani,totani,totani,16
902,Curcuma fresca,curcuma fresca,curcuma,79
903,Abbacchio,abbacchio,abbacchio,4
904,Alette di pollo,alette di pollo,alette di pollo,350
905,Alaccia,alaccia,alaccia,1
906,Panko,panko,panko,4
907,Prugne disidratate,prugne disidratate,prugne,32
908,Brodo di manzo,brodo di manzo,brodo di manzo,219
909,Cipolline,cipolline,cipolline,103
910,Pane di segale,pane di segale,pane di segale,20
911,Mais,mais,mais,31
912,Costolette di agnello,costolette di agnello,costolette di agnello,57
913,Salsa Worcestershire,salsa worcestershire,salsa worcestershire,47
914,Fagioli neri precotti,fagioli neri precotti,fagioli,87
915,Wafer al cacao,wafer al cacao,wafer al cacao,6
916,codette,codette,codette colorate,28
917,Zafferano in pistilli,zafferano,zafferano,177
918,Mele Golden Delicious,mele golden delicious,mele,204
919,Sardine sott'olio,sardine sott'olio,sardine,19
920,Burro salato,burro salato,burro,4606
921,Biancostato di manzo,biancostato di manzo,biancostato di manzo,492
922,Barba di frate (agretti),barba di frate,barba di frate,15
923,Fregola,fregola,fregola,18
924,Funghi portobello,funghi portobello,funghi,48
925,Confettura di pesche,confettura di pesche,confettura di pesche,7
926,Ziti,ziti,ziti,11
927,Vodka,vodka,vodka,26
928,Avena,avena,avena,5
929,Bacche di Goji,bacche di goji,bacche di goji,8
930,Mele Gala,mele gala,mele,204
931,Fagioli borlotti,fagioli borlotti,fagioli borlotti,47
932,Risotto alla parmigiana,risotto alla parmigiana,risotto allo zafferano,9
933,Funghi prataioli,funghi prataioli,funghi,48
934,Ciliegie sotto spirito,ciliegie sotto spirito,ciliegie,86
935,Frutta fresca,frutta fresca,frutta fresca,8
936,Capocollo,capocollo,capocollo,3
937,Xantana,xantana,xantana,4
938,Patate americane,patate americane,patate,23
939,Olive nere Greche,olive nere greche,olive nere greche,244
940,Pesto di rucola,pesto di rucola,pesto,24
941,Liquirizia in polvere,liquirizia,liquirizia,21
942,Cioccolato fondente al 60%,cioccolato fondente al 60%,cioccolato,833
943,Confettura di prugne,confettura di prugne,confettura,46
944,Anelli Siciliani,anelli siciliani,anelli siciliani,2
945,Alchermes,alchermes,alchermes,15
946,Troccoli,troccoli,troccoli,4
947,Pane per tramezzini,pane,pane,363
948,Stoccafisso,stoccafisso,stoccafisso,18
949,Sarde sotto sale,sarde sotto sale,sarde,32
950,Marron glaces,marron glaces,marron glacè,20
951,Farina di mais giallo,farina di mais giallo,farina,144
952,Bulgur,bulgur,bulgur,14
953,Cannelloni all'uovo,cannelloni all'uovo,cannelloni all'uovo,6
954,Mix di cereali,mix di cereali,mix di cereali,7
955,Sfoglie alle olive,sfoglie alle olive,sfoglie alle olive,8
956,Amarene,amarene,amarene,47
957,Preparato per confetture 3:1,preparato,preparato,3
958,Latte scremato,latte scremato,latte scremato,2242
959,Cotechino precotto,cotechino precotto,cotechino precotto,29
960,Farina di avena,farina di avena,farina,2121
961,Amido di riso,amido di riso,amido di riso,18
962,Frumina,frumina,frumina,6
963,Topping al caramello,topping al caramello,topping al caramello,17
964,Gnocchetti Sardi,gnocchetti sardi,gnocchetti sardi,12
965,Crema di pomodorini,crema di pomodorini,crema,142
966,Germogli di barbabietola,germogli di barbabietola,germogli di barbabietola,5
967,Germogli alfa alfa,germogli alfa alfa,germogli,15
968,Pancetta arrotolata,pancetta arrotolata,pancetta,245
969,Cedro candito,cedro candito,cedro candito,34
970,Uva sultanina,uva sultanina,uva sultanina,87
971,Pane di farro,pane di farro,pane,363
972,Spaghetti Bio,spaghetti bio,spaghetti,201
973,Pasta Mista,pasta mista,pasta,78
974,Mezze Penne Rigate Integrali,mezze penne rigate integrali,mezze penne rigate integrali,5
975,Pomodori perini,pomodori perini,pomodori perini,634
976,Scialatielli,scialatielli,scialatielli,5
977,Panna fresca senza lattosio,panna fresca,panna fresca,1860
978,Spaghetti alla Chitarra all'uovo,spaghetti alla chitarra all'uovo,spaghetti alla chitarra all'uovo,12
979,Tartufi,tartufi,tartufi neri,18
980,Sciroppo di fiori di sambuco,sciroppo di fiori di sambuco,sciroppo alla fragola,27
981,Fiori di lavanda,fiori di lavanda,fiori di zucca,39
982,Aroma al maraschino,aroma al maraschino,aroma alla mandorla,10
983,Preparato per decorazioni,preparato,preparato,3
984,Limone candito,limone candito,limone,1394
985,Marzapane,marzapane,marzapane,11
986,Piselli secchi,piselli secchi,piselli,302
987,Trota salmonata,trota salmonata,trota salmonata,15
988,Frattaglie di pollo,frattaglie di pollo,frattaglie di pollo,350
989,Pepe di Sichuan,pepe di sichuan,pepe di sichuan,5844
990,Biscottini di Novara,biscottini di novara,biscottini di novara,84
991,Acai in polvere,acai,acai,1
992,Pesce di mare,pesce di mare,pesce,29
993,Filetti di nasello,filetti di nasello,filetti di nasello,16
994,Cappone,cappone,cappone,15
995,Controfiletto di manzo,controfiletto di manzo,controfiletto di manzo,492
996,Mele Royal Gala,mele royal gala,mele,204
997,Calamarata,calamarata,calamarata,9
998,Confettini colorati,confettini colorati,confettini colorati,14
999,Arachidi salate tostate,arachidi salate tostate,arachidi,24
1000,Pistacchi tostati salati,pistacchi tostati salati,pistacchi,11
1001,Fusi di pollo,fusi di pollo,fusi di pollo,350
1002,Tartufi neri,tartufi neri,tartufi neri,44
1003,Fruttapec 2:1,fruttapec,fruttapec,3
1004,Muesli,muesli,muesli,10
1005,Lenticchie precotte,lenticchie precotte,lenticchie,49
1006,Semi misti,semi misti,semi misti,107
1007,Fettuccine all'uovo,fettuccine all'uovo,fettuccine all'uovo,23
1008,Gallinella,gallinella,gallinella,13
1009,Daikon,daikon,daikon,7
1010,Grano,grano,grana,2121
1011,Coda di rospo,coda di rospo,coda di rospo,28
1012,Quinoa,quinoa,quinoa,30
1013,Sedani Rigati,sedani rigati,sedanini rigati,12
1014,Farina di mais bramata bianca,farina di mais bramata bianca,farina,144
1015,Fumetto di pesce,fumetto di pesce,fumetto di pesce,26
1016,Ossibuchi di vitello,ossibuchi di vitello,ossibuchi di vitello,16
1017,Fusilli di lenticchie rosse,fusilli di lenticchie rosse,fusilli,71
1018,Olive,olive,olive,72
1019,Vino secco da dessert,vino secco da dessert,vino,43
1020,Crostacei,crostacei,crostacei,3
1021,Cicorino,cicorino,cicorino,37
1022,Spaghetti di riso,spaghetti di riso,spaghetti,201
1023,Ricci di mare,ricci di mare,ricci di mare,8
1024,Mix di farine senza glutine,mix di farine,mix di cereali,2121
1025,Lievito di birra secco senza glutine,lievito di birra secco,lievito di birra secco,364
1026,Farina di tapioca,farina di tapioca,farina,2121
1027,Tortiglioni,tortiglioni,tortiglioni,12
1028,Latte parzialmente scremato,latte parzialmente scremato,latte,2242
1029,Sciroppo di zucchero,sciroppo di zucchero,sciroppo di zucchero,7
1030,Codette bianche,codette bianche,codette,28
1031,Perline di zucchero,perline di zucchero,perline di zucchero,1
1032,Biscotti integrali,biscotti integrali,biscotti,84
1033,Papaya,papaya,papaya,16
1034,Noce di cocco,noce di cocco,noce,45
1035,Filini,filini,filini,1
1036,Datteri,datteri,datteri,33
1037,Mele stark,mele stark,mele,204
1038,Pistacchi tostati,pistacchi tostati,pistacchi tostati,11
1039,Pere Decana,pere decana,pere,111
1040,Confettura di frutti di bosco,confettura di frutti di bosco,confettura,46
1041,Birra analcolica,birra analcolica,birra,103
1042,Tartufo,tartufo,tartufo,18
1043,Champagne,champagne,champagne,16
1044,Riso pilaf,riso pilaf,riso,289
1045,Essenza di vaniglia,essenza di vaniglia,essenza di vaniglia,100
1046,Filetto di vitello,filetto di vitello,filetto di vitello,492
1047,Crema pasticcera,crema pasticcera,crema pasticcera,65
1048,Burro senza lattosio,burro,burro,4606
1049,Tortillas,tortillas,tortillas,20
1050,Biscotti secchi senza glutine,biscotti secchi,biscotti secchi,84
1051,Burro di soia,burro di soia,burro,4606
1052,Formaggio fresco spalmabile senza lattosio,formaggio fresco spalmabile,formaggio fresco spalmabile,134
1053,Patate ratte,patate ratte,patate,1000
1054,Vene cress,vene cress,vene cress,1
1055,Zucca gialla,zucca gialla,zucca gialla,20
1056,Yogurt greco 2% di grassi,yogurt greco,yogurt greco,196
1057,Olive nere infornate,olive nere infornate,olive,72
1058,Mentuccia,mentuccia,mentuccia,533
1059,Bottarga di tonno,bottarga di tonno,bottarga di tonno,50
1060,Cracker,cracker,cracker,3
1061,Farfalline all'uovo,farfalline all'uovo,farfalline all'uovo,35
1062,Zucca napoletana,zucca napoletana,zucca,226
1063,Pasta di arance,pasta di arance,pasta,46
1064,Pasta di mandarini,pasta di mandarini,pasta,29
1065,Pasta di limoni,pasta di limoni,pasta,1394
1066,Farina di grano arso,farina di grano arso,farina,2121
1067,Coregone,coregone,coregone,1
1068,Crema di pistacchi,crema di pistacchi,crema,18
1069,Mele Red Delicious,mele red delicious,mele red delicious,8
1070,Penne di grano saraceno,penne di grano saraceno,penne,104
1071,Polpetti,polpetti,polpetti,6
1072,Pepe in grani,pepe,pepe,5844
1073,Confettura di ribes,confettura di ribes,confettura,46
1074,Sciroppo di agave,sciroppo di agave,sciroppo alla fragola,4
1075,Sardine,sardine,sardine,19
1076,Pepe verde,pepe verde,pepe verde,5844
1077,Timo limonato,timo limonato,timo,874
1078,Mortadella di Bologna,mortadella di bologna,mortadella,84
1079,Petto d'anatra,petto d'anatra,petto d'anatra,27
1080,Biscotti melighe,biscotti melighe,biscotti,84
1081,Passito di Pantelleria,passito di pantelleria,passito,7
1082,Barolo,barolo,barolo,9
1083,Tè verde,tè verde,tè verde,15
1084,Peperoni verdi a cornetto,peperoni verdi,peperoni verdi,612
1085,Pectina,pectina,pectina,2
1086,Vincotto,vincotto,vincotto,7
1087,Santoreggia,santoreggia,santoreggia,4
