Def,Freq,Freq_Cucchiaio,Freq_GZ,Freq_RR
cavolfiore,101,61,32,8
cavolo cappuccio,44,26,15,3
cavolo nero,44,19,17,8
cavolo rosso,18,6,12,0
cavolo verza,13,10,1,2
ceci precotti,48,18,30,0
ceci secchi,72,48,20,4
cedro,11,5,1,5
cedro candito,34,19,11,4
cefali,1,1,0,0
cellentani,5,1,4,0
cepole,1,0,1,0
cereali,7,4,3,0
cerfoglio,27,21,0,6
cernia,8,6,2,0
cervella,5,4,0,1
cetrioli,121,79,39,3
cetriolini sott'aceto,48,35,8,5
champagne,16,13,3,0
champignon,22,22,0,0
chardonnay,1,1,0,0
cheddar,15,1,14,0
chevre,1,0,1,0
chia,1,1,0,0
chicche di patate,1,1,0,0
chicchi di caffè,21,3,18,0
chinotto,2,2,0,0
chiocciole,1,1,0,0
chiodi di garofano,180,82,78,20
chiodo,1,1,0,0
chips di banana,1,1,0,0
chorizo,4,0,4,0
choux,1,1,0,0
choy,1,1,0,0
chutney,1,1,0,0
ciabattine,1,1,0,0
cialde,1,0,1,0
cialde al cioccolato,1,1,0,0
ciauscolo,1,1,0,0
cicale,2,1,0,1
ciccioli,4,3,0,1
cicerchia,4,2,2,0
cicoria,37,24,10,3
ciliegie,86,48,38,0
ciliegie candite,30,19,11,0
ciliegie sciroppate,3,1,2,0
ciliegina al maraschino,2,2,0,0
cime di broccoli,10,10,0,0
cime di rapa,20,5,14,1
cioccolato,105,85,14,6
cioccolato al latte,59,33,25,1
cioccolato bianco,160,77,83,0
cioccolato fondente,833,463,363,7
cioccolato gianduia,20,12,8,0
cipolla,1415,806,347,262
cipolla bianca,310,106,201,3
cipolla di tropea,103,52,47,4
cipolla dorata,142,44,97,1
cipolle borettane,103,83,12,8
cipollotto fresco,296,127,162,7
citronella,1,1,0,0
clementine,7,5,2,0
coca cola,1,1,0,0
cocco,45,39,6,0
cocco disidratato,43,12,31,0
cocomero,25,5,20,0
cocozza,1,0,0,1
coda di manzo,8,6,1,1
coda di rospo,28,14,9,5
code di gamberi,15,15,0,0
code di scampi,6,6,0,0
codette,28,3,25,0
codette al cioccolato,5,0,5,0
codine,1,1,0,0
cognac,64,50,11,3
cointreau,10,6,3,1
colla alimentare,7,0,7,0
colla di pesce,37,36,1,0
colle duga di damian princic,3,3,0,0
colomba,4,1,3,0
colorante alimentare,106,34,72,0
composta,5,4,1,0
concentrato di pomodoro,192,88,86,18
conchiglioni,17,13,4,0
confettini colorati,14,8,4,2
confettura,46,24,21,1
confettura di albicocche,46,11,35,0
confettura di ciliegie,6,2,4,0
confettura di fragole,22,5,17,0
confettura di lamponi,12,6,6,0
confettura di mirtilli,7,3,4,0
confettura di pesche,7,2,5,0
coni,4,2,2,0
coppa,4,3,1,0
coratelle,1,0,0,1
coregone,1,0,1,0
coriandolo,67,35,32,0
corn flakes,20,9,11,0
coste,2,0,0,2
cotechino,29,12,16,1
cotenna di suino,25,10,6,9
cotto di fichi,1,0,1,0
coulis di fragole,1,1,0,0
coulis di lamponi,1,1,0,0
cous cous,41,23,18,0
cozze,115,44,56,15
cracker,3,1,2,0
cranberries,5,4,1,0
crauti,10,2,2,6
crema,25,23,1,1
crema di marroni,6,6,0,0
crema di pistacchi,18,1,17,0
crema inglese,6,6,0,0
crema pasticcera,65,62,3,0
cremini,1,1,0,0
cremor tartaro,30,18,12,0
cren,5,3,1,1
crepes,12,12,0,0
crescenza,19,9,9,1
crescione,6,6,0,0
creste di gallo,4,3,0,1
croccante,6,5,0,1
crodino,1,1,0,0
croissant classici,2,2,0,0
crosta di parmigiano,3,3,0,0
crostacei,3,2,1,0
crostini,5,4,1,0
crostoni di pane,4,4,0,0
crudo,1,1,0,0
crunchy di riso al pepe,1,1,0,0
crusca,2,2,0,0
crème cassis,2,2,0,0
crème fraîche,4,4,0,0
cucunci,1,1,0,0
culaccia,2,2,0,0
culatello,8,2,6,0
cumino,79,31,41,7
cuore,2,2,0,0
curacao,4,3,1,0
curcuma,79,40,39,0
curry,89,63,26,0
dado,18,8,1,9
daikon,7,4,3,0
dashi,2,1,1,0
datteri,33,25,8,0
decorazione alimentare,17,1,16,0
dente di lupo,1,1,0,0
dentice,7,7,0,0
destrosio,1,1,0,0
di agnello,7,0,0,7
di brodo,1,0,0,1
dischetti di pasta,17,0,17,0
distillato,2,1,1,0
ditalini,12,9,3,0
ditaloni rigati,10,1,9,0
dolcetto,1,0,1,0
dragoncello,31,28,3,0
dulce de leche,2,2,0,0
edamame,2,2,0,0
edamer,40,6,34,0
edi keber,1,1,0,0
eliche,1,1,0,0
emmentaler,83,42,35,6
erba cipollina,367,175,191,1
erbe aromatiche,70,68,2,0
erbette,30,12,12,6
