"recipe1_title","recipe1_url","recipe1_author","recipe1_category","recipe2_title","recipe2_url","recipe2_author","recipe2_category","similarity","levenshtein","jarowinkler","category_equality"
"Dolce di limone e mandorle con salsa di fragole","https://www.cucchiaio.it/ricetta/ricetta-dolce-limone-mandorle-salsa-fragole/","cucchiaio.it","dolci","Soufflè al limone, mandorle e salsa di fragole","https://www.cucchiaio.it/ricetta/ricetta-souffle-limone-mandorle-salsa-fragole/","cucchiaio.it","dolci","1","0.717948717948718","0.8094143612235717","true"
"Cassata di manzo","https://www.cucchiaio.it/ricetta/ricetta-cassata-manzo/","cucchiaio.it","antipasti","Cassata...di manzo","https://www.cucchiaio.it/ricetta/ricetta-cassatadi-manzo/","cucchiaio.it","","1","1","1","false"
"Marmellata di limoni","https://www.cucchiaio.it/ricetta/marmellata-di-limoni/","cucchiaio.it","dolci","Marmellata di limoni","https://ricette.giallozafferano.it/Marmellata-di-limoni.html","giallozafferano.it","creme","1","1","1","false"
"Irish coffee","https://www.cucchiaio.it/ricetta/irish-coffee/","cucchiaio.it","bevande","Irish coffee","https://ricette.giallozafferano.it/Irish-coffee.html","giallozafferano.it","bevande","1","1","1","true"
"Limoncello","https://www.cucchiaio.it/ricetta/limoncello/","cucchiaio.it","bevande","Limoncello","https://ricette.giallozafferano.it/Limoncello.html","giallozafferano.it","bevande","1","1","1","true"
"Confettura di ciliegie","https://www.cucchiaio.it/ricetta/ricetta-marmellata-ciliegie/","cucchiaio.it","dolci","Confettura di ciliegie","https://ricette.giallozafferano.it/Confettura-di-ciliegie.html","giallozafferano.it","creme","1","1","1","false"
"Insalata di tonno, acciughe e ovetti di quaglia","https://www.cucchiaio.it/ricetta/ricetta-insalata-tonno-acciughe-ovetti-quaglia/","cucchiaio.it","","Insalata di tonno, acciughe e ovetti di quaglia in camicia","https://www.cucchiaio.it/ricetta/ricetta-insalata-tonno-acciughe-ovetti-quaglia-camicia/","cucchiaio.it","secondi piatti","1","0.8125","0.9625","false"
"Crêpes alle fragole e mascarpone","https://www.cucchiaio.it/ricetta/ricetta-crepes-fragole-mascarpone/","cucchiaio.it","dolci","Crêpe alle fragole e mascarpone","https://www.cucchiaio.it/ricetta/ricetta-crepe-fragole-mascarpone/","cucchiaio.it","dolci","1","0.9642857142857143","0.9928571428571429","true"
"Salsa all'arancia","https://www.cucchiaio.it/ricetta/ricetta-salsa-allarancia/","cucchiaio.it","dolci","Salsa d’arancia","https://www.cucchiaio.it/ricetta/ricetta-salsa-darancia/","cucchiaio.it","dolci","1","0.8","0.8946153846153847","true"
"Confettura di fichi","https://ricette.giallozafferano.it/Confettura-di-fichi.html","giallozafferano.it","creme","Confettura di fichi d'India","https://ricette.giallozafferano.it/Confettura-di-fichi-d-India.html","giallozafferano.it","creme","1","0.7391304347826086","0.9478260869565217","true"
"Tartelette di piselli e lattuga","https://www.cucchiaio.it/ricetta/ricetta-tartelette-piselli-lattuga/","cucchiaio.it","antipasti","Tartellette con piselli alla lattuga","https://www.cucchiaio.it/ricetta/ricetta-tartellette-piselli-lattuga/","cucchiaio.it","antipasti","1","0.75","0.8902777777777778","true"
"Sciumette","https://www.cucchiaio.it/ricetta/ricetta-sciumette/","cucchiaio.it","dolci","Sciumette","https://www.ricetteregionali.net/ricette-regionali-liguri-liguria-dolci-sciumette.html","ricetteregionali.net","dolci","1","1","1","true"
"Aringhe alla calabrese","https://www.cucchiaio.it/ricetta/ricetta-aringhe-calabrese/","cucchiaio.it","secondi piatti","Arighe alla calabrese","https://www.cucchiaio.it/ricetta/ricetta-arighe-calabrese/","cucchiaio.it","secondi piatti","1","0.95","0.9883333333333334","true"
"Carpaccio di manzo e ravanelli","https://www.cucchiaio.it/ricetta/ricetta-carpaccio-manzo-ravanelli/","cucchiaio.it","","Carpaccio con ravanelli","https://www.cucchiaio.it/ricetta/ricetta-carpaccio-ravanelli/","cucchiaio.it","antipasti","1","0.7307692307692307","0.8943223443223444","false"
"Confettura di pesche al forno","https://ricette.giallozafferano.it/Confettura-di-pesche-al-forno.html","giallozafferano.it","creme","Confettura di pesche","https://ricette.giallozafferano.it/Marmellata-di-pesche.html","giallozafferano.it","creme","1","0.72","0.944","true"
"Minestrina di ceci e scalogni","https://www.cucchiaio.it/ricetta/ricetta-minestrina-ceci-scalogni/","cucchiaio.it","primi piatti","Minestra di ceci e scalogni","https://www.cucchiaio.it/ricetta/ricetta-minestra-ceci-scalogni/","cucchiaio.it","primi piatti","1","0.92","0.9144347826086957","true"
"Conchiglie e granceola","https://www.cucchiaio.it/ricetta/ricetta-conchiglie-grancevola/","cucchiaio.it","primi piatti","Conchiglie alla granceola","https://www.cucchiaio.it/ricetta/ricetta-conchiglie-granceola/","cucchiaio.it","primi piatti","1","0.8260869565217391","0.9078489702517162","true"
"Tartare di salmone all'erba cipollina","https://www.cucchiaio.it/ricetta/ricetta-tartare-salmone-allerba-cipollina/","cucchiaio.it","antipasti","Tartare all'erba cipollina","https://www.cucchiaio.it/ricetta/ricetta-tartare-all-erba-cipollina/","cucchiaio.it","secondi piatti","1","0.71875","0.8872282608695652","false"
